target,model,mae_mean,mae_std,mae_max,median_absolute_error_mean,median_absolute_error_std,median_absolute_error_max,rmse_mean,rmse_std,rmse_max,mean_error_mean,mean_error_std,mean_error_max,pinball_p10_mean,pinball_p10_std,pinball_p10_max,pinball_p50_mean,pinball_p50_std,pinball_p50_max,pinball_p90_mean,pinball_p90_std,pinball_p90_max,attainment_p10_mean,attainment_p10_std,attainment_p10_max,attainment_p50_mean,attainment_p50_std,attainment_p50_max,attainment_p90_mean,attainment_p90_std,attainment_p90_max,coverage_p10_p90_mean,coverage_p10_p90_std,coverage_p10_p90_max,mean_interval_width_mean,mean_interval_width_std,mean_interval_width_max,interval_score_80_mean,interval_score_80_std,interval_score_80_max,spearman_mean,spearman_std,spearman_max,direction_accuracy_mean,direction_accuracy_std,direction_accuracy_max,crossing_ratio_raw_mean,crossing_ratio_raw_std,crossing_ratio_raw_max,crossing_ratio_corrected_mean,crossing_ratio_corrected_std,crossing_ratio_corrected_max,fit_seconds_mean,fit_seconds_std,fit_seconds_max
target_aux_min_next_two_quarters_yoy,seasonal_naive,0.8010917770673301,0.2547338839520897,1.164081400435163,0.15304987928963243,0.007852328463677708,0.16139075945852724,22.45837558725731,20.467132020278235,52.94492923536848,0.42590045436920754,0.3283424241708226,0.8966523923465152,0.5029964629791988,0.2539004268563453,0.8706628814646097,0.4005458885336651,0.12736694197604484,0.5820407002175815,0.18181178224796862,0.03927516131328571,0.23713115152021152,0.08483916079771059,0.003311735950348815,0.08865619546247819,0.4731470872676914,0.01577233149443322,0.49508624147613317,0.9221924554711218,0.008741958961090607,0.9299925205684368,0.8373532946734112,0.008755145153046333,0.847573204973927,1.0456551618921288,0.016231529749185437,1.0643279551126863,6.848082452271675,2.535532523618783,10.480678447293776,0.375569126753276,0.025706581205135828,0.39831910219651856,0.7023116232621063,0.012680824640982828,0.7157039711191335,0.0,0.0,0.0,0.0,0.0,0.0,0.02728947502328083,0.0021903027595689766,0.03040400001918897
target_aux_min_next_two_quarters_yoy,xgboost,0.28092314381224165,0.05596727786526381,0.35670818741286575,0.10341220532549059,0.005651431624985713,0.10802226544464194,5.346086711590398,3.752971868950556,10.133245301745488,-0.10312538036219474,0.05986741904605974,-0.03774607851225327,0.048942390695370666,0.005806021509843979,0.057128397136191236,0.14046157190612082,0.027983638932631904,0.17835409370643288,0.1202393178749146,0.03871447804653851,0.16849814260870166,0.13379543623864992,0.006100007890066592,0.1409382518043304,0.5431900023630516,0.006011600210394944,0.5503409546730846,0.9048960934569169,0.007233455213212342,0.9121540312876053,0.7711006572182669,0.010916150169085627,0.7845467308463698,0.6641441285610199,0.02498436857909254,0.6972928643226624,1.691817085865675,0.44317376788277624,2.2562653976503833,0.5958650765094129,0.02610733179723083,0.628102139217548,0.7787234276805551,0.014387982999639686,0.7990373044524669,0.004256317392428073,0.0002591671375543335,0.004487658937920718,0.0,0.0,0.0,347.2617048500251,15.230054495049146,365.03621660004137
target_b_next_two_quarters_yoy,catboost,0.3501686505008897,0.06177373274074512,0.42825846178928806,0.1083984545702972,0.00394533789344465,0.11365445607649682,6.276144806716969,3.888408384882655,11.139392631466597,-0.16053844816890642,0.06421450753356822,-0.089986103174044,0.05636229099153555,0.0072826808241438,0.06637780754227712,0.17508432525044484,0.03088686637037256,0.21412923089464403,0.16454655751770633,0.0476775340644919,0.22279401231705664,0.12214103864867512,0.003031037586676244,0.12454873646209386,0.540666301153454,0.016382308161517752,0.5649819494584838,0.9131990653228835,0.008216343710105972,0.9253409546730846,0.7910580266742084,0.0076100885565879035,0.8007922182109908,0.7980211074218194,0.049298913069745466,0.8712776682743064,2.209088485092419,0.5482343292586108,2.891718198593338,0.5700015417080215,0.013113667534060059,0.5800417225136771,0.7229784088333293,0.0062381983229552445,0.729041315683915,0.001049429267867578,0.00022420957628006073,0.0013031275060144346,0.0,0.0,0.0,173.27640375000192,9.966746853885235,182.09119140001712
target_b_next_two_quarters_yoy,industry_median,0.4296550799282538,0.06593929640168268,0.5148647856924526,0.16488759029568545,0.00509446566497041,0.17130358738281803,6.381794235154971,3.9131151658407015,11.279008085163769,-0.14148610295467356,0.0625106590915904,-0.07660518062641979,0.07045152455700542,0.006279541921952589,0.07841068346749674,0.2148275399641269,0.03296964820084134,0.2574323928462263,0.23905768756597584,0.057846620863927924,0.3101625739421404,0.12694045838835766,0.004842568152348625,0.1330224628961091,0.6413143346349242,0.007211049419158195,0.6516746891295627,0.9327298713606171,0.005418569632576185,0.9395808263136783,0.8057894129722595,0.0005789748985557414,0.8065583634175691,0.9689621932544008,0.014826443685836212,0.9873852730616984,3.095092121229813,0.6412015401092805,3.885732574096371,0.07226679823314192,0.010702905645910973,0.08391993234735498,0.4953621568703196,0.01118709828073097,0.5044128646222887,0.0,0.0,0.0,0.0,0.0,0.0,0.11616817502363119,0.010626641055061092,0.126608100021258
target_b_next_two_quarters_yoy,lightgbm,0.34402558063149075,0.06117305449179313,0.4213293874552558,0.10672632195460015,0.00440813794934933,0.11204051123251013,6.294859153501615,3.92677106784983,11.209977850839435,-0.15409934951402035,0.0653161784929525,-0.0835991363653252,0.05568424270302315,0.006484010066640277,0.064381563359688,0.17201279031574537,0.030586527245896566,0.2106646937276279,0.1576612178366934,0.04412402905857786,0.20903853645925524,0.13090899349827842,0.005218253833239962,0.13773565984757322,0.5503127281700445,0.013610719847104715,0.5704973926995588,0.9105642923323678,0.006479848817203908,0.9197753710389089,0.7796552988340895,0.0027077361304256977,0.7820397111913358,0.762910204142726,0.018751252898705217,0.7869033866641447,2.1334546053971652,0.5047223054345228,2.734200998189432,0.5815544164514697,0.01366992650330277,0.5955797420988032,0.7240803961329365,0.007601069780042591,0.7338547934215804,0.002808425596701858,0.00030995864007739917,0.0031758634378721714,0.0,0.0,0.0,42.498812324993196,3.701349984398579,46.666460199980065
target_b_next_two_quarters_yoy,regularized_linear,108.89236235133606,119.96748772496046,227.28598867660327,108.71711277104225,119.86046935484552,226.98731377004532,109.65581219440885,119.32600324971645,227.5654994282363,-106.614046867557,122.66317946497459,4.458208489042066,19.653224583621554,6.428929519004198,26.331396893370137,54.44618117566803,59.98374386248023,113.64299433830163,10.175053894731935,7.879568179203641,19.771695199654925,0.0,0.0,0.0,0.2484838612670409,0.49696772253408183,0.9939354450681636,0.7770433871360524,0.44561262765134085,0.999950137122912,0.7770433871360524,0.44561262765134085,0.999950137122912,296.50474760313296,75.20387007421414,396.24046041406797,298.2827847835349,74.53930788556147,396.6909581501246,0.05554277838645809,0.04998717060071337,0.08299979004730053,0.5398375159009418,0.1035955991062432,0.6231448054552747,1.0,0.0,1.0,0.0,0.0,0.0,18.387768700005836,1.431829814312258,20.089854099962395
target_b_next_two_quarters_yoy,seasonal_naive,0.8385791771983249,0.24386984000997028,1.1891321425167194,0.14916305342480557,0.005552468552630053,0.157038583012388,22.84739350404968,20.21515250891172,52.94824536112794,0.32618361767009796,0.3338343252181663,0.8032223335612441,0.4890201867248346,0.2518509655924176,0.8541317195813466,0.41928958859916243,0.12193492000498514,0.5945660712583597,0.24101772350655323,0.04043530333859811,0.3012073714649207,0.08602398461330024,0.0024217160418565534,0.08885564697083022,0.5064097427705652,0.021632668951369918,0.5355495387083835,0.9254469309826817,0.005534792829102082,0.9297432061829968,0.8394229463693814,0.005896139341393147,0.8465703971119134,1.0705091730593888,0.018310837797566072,1.091845600278912,7.300379102313879,2.4380117332339215,10.818692374645014,0.40008577975806614,0.020910700055115708,0.4213086970222759,0.660882872075967,0.009314868087675558,0.6699077536773872,0.0,0.0,0.0,0.0,0.0,0.0,0.031018399997265078,0.0039535867581652236,0.03567589999875054
target_b_next_two_quarters_yoy,xgboost,0.34344817797018945,0.06217823696684169,0.42228225308610934,0.10627010263281192,0.004217440054722887,0.11151818402932867,6.291085978357666,3.9395282146300916,11.222162428091565,-0.1531449290337664,0.06739849230205043,-0.07978023693850461,0.05601571421912863,0.006459066024295499,0.06472326419570154,0.17172408898509472,0.031089118483420844,0.21114112654305467,0.1648588916275446,0.045276219747938655,0.2202972568177797,0.14107037795892058,0.004610472866077129,0.14671079021259525,0.5484619193885607,0.013528910784377464,0.5682410750100281,0.9062245228123362,0.008743194806425901,0.9190232651423987,0.7651541448534156,0.0054510143168824575,0.7723124749298035,0.8483348041772842,0.0478656050455312,0.9044329524040222,2.208746058544603,0.5165258795527362,2.850205210218349,0.5848187298574312,0.012435951747450918,0.5955327372644482,0.7262602906544997,0.006138826118223859,0.7337043722422784,0.0051797996900435645,0.0007470492324035633,0.005864073777064956,0.0,0.0,0.0,358.66294347499206,9.929479307732322,369.5767788999947
