target,fold,validation_period,model,validation_rows,fit_seconds,mae,median_absolute_error,rmse,mean_error,pinball_p10,pinball_p50,pinball_p90,attainment_p10,attainment_p50,attainment_p90,coverage_p10_p90,mean_interval_width,interval_score_80,spearman,direction_accuracy,crossing_ratio_raw,crossing_ratio_corrected
target_a_next_quarter_yoy,2,20242,seasonal_naive,20500,0.028414800006430596,1.3156696462416662,0.1457062019380355,52.11489687267567,0.3963221541336691,0.7527952879971855,0.6578348231208331,0.45782475025574415,0.08341463414634147,0.5274634146341464,0.9329268292682927,0.8495121951219512,1.1712087436175866,12.106200382529298,0.4536406958614649,0.684439024390244,0.0,0.0
target_a_next_quarter_yoy,2,20242,xgboost,20500,402.90915199997835,0.6808089716367492,0.11380838332790327,15.059365868096785,-0.4417395696845807,0.09372783416699541,0.3404044858183746,0.5225965766244016,0.14624390243902438,0.5556585365853659,0.9109756097560976,0.7647317073170732,3.641235828399658,6.163244108873704,0.6332015543937631,0.7468780487804878,0.008829268292682926,0.0
target_a_next_quarter_yoy,3,20243,catboost,20431,195.52569320000475,0.617556769951518,0.12072647003144822,11.295612750052381,-0.41074736007290474,0.08696155599694992,0.308778384975759,0.35121509732826456,0.09852674856835202,0.4830894229357349,0.896872399784641,0.798345651216289,1.1277768593433017,4.381766533252145,0.5814861519428848,0.7176349664725172,0.0004405070725857765,0.0
target_a_next_quarter_yoy,3,20243,industry_median,20431,0.1347234999993816,0.7047662796085555,0.1828181340693219,11.359978207161003,-0.40771466159049374,0.10171195709585995,0.35238313980427777,0.4646357167403492,0.11648964808379424,0.6023689491459058,0.9313298419069062,0.8148401938231119,1.263975005606829,5.663476738362091,0.06452610663860536,0.49278057853262197,0.0,0.0
target_a_next_quarter_yoy,3,20243,lightgbm,20431,49.9917975999997,0.6012745395478966,0.11577601478590181,11.238640250198761,-0.3917388645969356,0.08384905821787181,0.3006372697739483,0.30452728358729453,0.10660271156575792,0.47310459595712395,0.8813078165532768,0.774705104987519,1.3043105783029492,3.8837634180516636,0.6024676481202439,0.7252214771670501,0.004062454113846606,0.0
target_a_next_quarter_yoy,3,20243,regularized_linear,20431,22.244981100026052,0.9120395063202191,0.450581269764349,11.34637436869754,-0.01961730163754733,0.2640158096763941,0.45601975316010956,0.466986019849174,0.0,0.8774411433605795,0.9038226224854388,0.9038226224854388,2.7614090410083505,7.310018295255682,0.016127813636759945,0.4292986148499829,0.9782193725221477,0.0
target_a_next_quarter_yoy,3,20243,seasonal_naive,20431,0.03205500001786277,1.0416347370902805,0.15154131514880032,18.303763165217344,0.014775752824995396,0.4742355258474209,0.5208173685451403,0.4558613910340836,0.0852136459302041,0.4657138661837404,0.9214429053888699,0.8362292594586658,1.1525771611357047,9.300969168815046,0.4115231800823871,0.660809554108952,0.0,0.0
target_a_next_quarter_yoy,3,20243,xgboost,20431,381.5514019000111,0.5982051285819695,0.1155283659401114,11.23341858544485,-0.38567259156364697,0.08402358385757527,0.29910256429098475,0.43544921039197254,0.11433605795115266,0.47765650237384366,0.8786647741177622,0.7643287161666096,2.6297621726989746,5.194727939478967,0.6061515371151078,0.7272282316088298,0.008516470069991679,0.0
target_a_next_quarter_yoy,4,20244,catboost,20324,204.54878850001842,0.6243117683749719,0.11530089862892293,20.30366115173303,-0.3947435839437697,0.08571499185333711,0.31215588418748597,0.3259403474632099,0.1358492422751427,0.5852194449911434,0.9282621531194647,0.792412910844322,1.4579409702321617,4.1165533931654705,0.6164860123402386,0.7420291281243849,0.00098405825624877,0.0
target_a_next_quarter_yoy,4,20244,industry_median,20324,0.14065539999864995,0.7387984372052121,0.1871900474982643,21.158871795528555,-0.4179827566903238,0.10412655888309684,0.36939921860260605,0.49680489971149067,0.1287148199173391,0.6436725054123205,0.9368726628616414,0.8081578429443023,1.2433083268504566,6.009314585945876,0.058052603681539444,0.43529816965164336,0.0,0.0
target_a_next_quarter_yoy,4,20244,lightgbm,20324,49.62816120003117,0.6215891000068805,0.11010805039077926,20.982657972231436,-0.4001241093303335,0.08554724128515008,0.31079455000344025,0.28701099594963814,0.14195040346388507,0.574837630387719,0.917535918126353,0.7755855146624681,1.2753303973055494,3.7255823723478825,0.6337659109908894,0.7464573902775045,0.0037394213737453256,0.0
target_a_next_quarter_yoy,4,20244,regularized_linear,20324,23.053350400005,191.8600592446399,191.95678588245931,192.62655135299306,191.46152021412803,0.45383798927922586,95.93002962231995,19.994866994015606,0.8851604014957686,0.9997539854359379,0.9997539854359379,0.11459358394016926,198.01964379992557,204.48704983294834,0.11008670259777181,0.3735977169848455,1.0,0.0
target_a_next_quarter_yoy,4,20244,seasonal_naive,20324,0.03762199997436255,0.860844590266377,0.14521810174207492,21.65190382469318,-0.110115638558924,0.31909021299243184,0.4304222951331885,0.4365807151071772,0.08556386538083055,0.5617004526667979,0.9314603424522732,0.8458964770714427,1.1289083901972892,7.556709280996089,0.43825141377222965,0.6722593977563471,0.0,0.0
target_a_next_quarter_yoy,4,20244,xgboost,20324,392.42657770001097,0.6152552460142549,0.11038382182385376,20.824255685413817,-0.39044751841595926,0.08602639442196039,0.3076276230071274,0.37419415910033427,0.15001968116512499,0.5727219051367841,0.914829757921669,0.764810076756544,2.647402048110962,4.602205543750472,0.6370694805383105,0.748868333005314,0.008069277701239913,0.0
target_aux_min_next_two_quarters_yoy,1,20241,catboost,20152,146.69476029998623,0.36189641090296454,0.11028372467920164,10.137429516888238,-0.19010546541415085,0.056876147475626436,0.18094820545148227,0.18210073737706078,0.11616712981341802,0.5248114331083763,0.9031857880111155,0.7870186581976975,0.6608331880594546,2.389768848526872,0.5769002321292708,0.7631500595474394,0.0012901945216355697,0.0
target_aux_min_next_two_quarters_yoy,1,20241,industry_median,20152,0.06818890001159161,0.42139839566752857,0.15405561804425355,10.161714274490215,-0.14466672617615997,0.07067655111379671,0.21069919783376428,0.23801739398692945,0.11254466057959507,0.6101131401349742,0.9277987296546248,0.8152540690750297,0.8431415144066471,3.086939451007262,0.1827340604201051,0.6457423580786026,0.0,0.0
target_aux_min_next_two_quarters_yoy,1,20241,lightgbm,20152,33.4939841000014,0.35712927571437303,0.10905587519945095,10.13505977531542,-0.18049360721828772,0.056756187214209795,0.17856463785718651,0.17045989502150993,0.12271734815402938,0.5366216752679634,0.8985212385867408,0.7758038904327114,0.6406735611950517,2.2721608223571974,0.5874312099375447,0.7634974196109567,0.00277888050813815,0.0
target_aux_min_next_two_quarters_yoy,1,20241,regularized_linear,20152,13.018326199962758,0.6518296817786773,0.4381505153074663,10.178732070568486,-0.623874731668744,25.475040114217602,0.32591484088933864,0.34074530110364976,0.0,0.08108376339817387,0.9858078602620087,0.9858078602620087,256.4956027236859,258.1578541532125,0.20492464744576064,0.7138249305279873,0.0,0.0
target_aux_min_next_two_quarters_yoy,1,20241,seasonal_naive,20152,0.025758900039363652,0.7121435990045822,0.16139075945852724,12.469902155659362,0.16314373819192857,0.35366997978856113,0.3560717995022911,0.23713115152021152,0.0833664152441445,0.4668519253672092,0.91152242953553,0.8281560142913855,1.0643279551126863,5.908011313087727,0.3467872775087447,0.6851429138547043,0.0,0.0
target_aux_min_next_two_quarters_yoy,1,20241,xgboost,20152,329.1786315999925,0.35670818741286575,0.10802226544464194,10.133245301745488,-0.17806119381378374,0.057128397136191236,0.17835409370643288,0.16849814260870166,0.130011909487892,0.5420305676855895,0.89807463279079,0.7680627233028979,0.6972928643226624,2.2562653976503833,0.5924660540071498,0.7652342199285431,0.0044164350932909885,0.0
target_aux_min_next_two_quarters_yoy,2,20242,catboost,20055,155.0999645999982,0.22804817214366951,0.10362095564350149,1.2016269315928585,-0.046396108426601565,0.0430238513664929,0.11402408607183476,0.07990660787339636,0.11922213911742707,0.5341810022438295,0.9166292695088507,0.7974071303914236,0.6470292111449323,1.2293045923988928,0.5871376329357487,0.7722263774619795,0.002443280977312391,0.0
target_aux_min_next_two_quarters_yoy,2,20242,industry_median,20055,0.07975979999173433,0.28726088024595475,0.1503061597336952,1.25506754708071,-0.010103729577839003,0.057695155174812496,0.14363044012297738,0.11981977468375687,0.11762652705061082,0.6102717526801297,0.9356768885564697,0.8180503615058589,0.8306579156016715,1.7751492985856936,0.18695582463172356,0.681475941161805,0.0,0.0
target_aux_min_next_two_quarters_yoy,2,20242,lightgbm,20055,37.46592440002132,0.22460447110870022,0.10296946543626151,1.1915876500275735,-0.04001979777531474,0.04312346301569419,0.11230223555435011,0.07498250556356993,0.1286462228870606,0.5352779855397657,0.9165295437546747,0.787883320867614,0.6245912095598575,1.1810596857926412,0.5966604323202724,0.7765644477686362,0.0029917726252804786,0.0
target_aux_min_next_two_quarters_yoy,2,20242,regularized_linear,20055,14.856333500007167,54.6556127883942,54.69853909832579,54.66412517057339,54.64975628496165,4.769359129792894,27.3278063941971,25.72352285936384,0.9972575417601596,0.999900274245824,1.0,0.002742458239840439,251.96653149920246,304.9288198915674,0.19149433464904156,0.256494639740713,1.0,0.0
target_aux_min_next_two_quarters_yoy,2,20242,seasonal_naive,20055,0.02575760002946481,1.164081400435163,0.1507944687574268,52.94492923536848,0.8966523923465152,0.8706628814646097,0.5820407002175815,0.17740496326476785,0.08865619546247819,0.4725006232859636,0.9299925205684368,0.8413363251059586,1.052178451002936,10.480678447293776,0.3961682512544142,0.7049613562702568,0.0,0.0
target_aux_min_next_two_quarters_yoy,2,20242,xgboost,20055,342.2737454000162,0.22412970441216193,0.10246584596661279,1.1878288668593442,-0.03774607851225327,0.04341396882106111,0.11206485220608096,0.07597524485875783,0.13662428322114187,0.5445524806781351,0.9100473697332336,0.7734230865120918,0.6643524169921875,1.1938921366215416,0.5984487102175033,0.7765644477686362,0.004487658937920718,0.0
target_aux_min_next_two_quarters_yoy,3,20243,catboost,19952,174.5876529000234,0.2647218289610212,0.1085030427027342,4.080713175733343,-0.08981300638871736,0.047328390512880146,0.1323609144805106,0.11136001452398413,0.12520048115477145,0.5249097834803529,0.9039695268644747,0.7787690457097033,0.6238960115297549,1.586884050368643,0.5519471476776328,0.7702987169206095,0.0012530072173215718,0.0
target_aux_min_next_two_quarters_yoy,3,20243,industry_median,19952,0.06852209998760372,0.31959169718576463,0.15160350486502883,4.113177773185281,-0.04159064188282665,0.061098085590083506,0.15979584859288232,0.14873857376372138,0.11813352044907778,0.6155272654370489,0.935695669607057,0.8175621491579792,0.821903624652227,2.098366593538049,0.17834832786553662,0.6908580593424218,0.0,0.0
target_aux_min_next_two_quarters_yoy,3,20243,lightgbm,19952,47.27777300000889,0.26127872782117384,0.1072296926960021,4.081703002650581,-0.08254041738590095,0.04724985356324767,0.13063936391058692,0.10526179932970414,0.1332197273456295,0.5274659182036888,0.89950882117081,0.7662890938251804,0.6172995610339307,1.5251165289295188,0.5611333010221559,0.7733560545308741,0.0032076984763432237,0.0
target_aux_min_next_two_quarters_yoy,3,20243,regularized_linear,19952,20.55859299999429,5.313542373756076,5.283179062645912,6.629753899369035,5.200112482720315,4.44169167219068,2.656771186878038,9.030530061601876,0.996692060946271,0.9968925421010425,0.9998997594226142,0.0032076984763432237,85.16173361364551,134.7222173379256,0.160249049776689,0.24358460304731355,1.0,0.0
target_aux_min_next_two_quarters_yoy,3,20243,seasonal_naive,19952,0.027237400005105883,0.7574665922474295,0.1567822296329028,15.16105347808974,0.39655790819904785,0.4715539767565534,0.37873329612371476,0.16757866017772344,0.086257016840417,0.4581495589414595,0.9186046511627907,0.8323476343223737,1.0394500810771272,6.391326369342769,0.36100187605342643,0.7034382518043304,0.0,0.0
target_aux_min_next_two_quarters_yoy,3,20243,xgboost,19952,352.5582258000504,0.2602962935257281,0.10736639142410703,4.070220767171168,-0.07813783357088555,0.047503758563394845,0.13014814676286404,0.10823616653543466,0.1409382518043304,0.535836006415397,0.8993083400160385,0.7583700882117081,0.6370390057563782,1.5573992506055832,0.5644434025954503,0.7740577385725742,0.003909382518043304,0.0
target_aux_min_next_two_quarters_yoy,4,20244,catboost,19944,184.72718440002063,0.2877082663822829,0.09871340544971574,5.998269679751762,-0.12317502311191748,0.04775171327740579,0.14385413319114146,0.13095427302354948,0.1069995988768552,0.5457781789009226,0.9229843561973526,0.8159847573204974,0.6485196559060203,1.7870598630095529,0.613301523456,0.795076213397513,0.0015543521861211393,0.0
target_aux_min_next_two_quarters_yoy,4,20244,industry_median,19944,0.12413769995328039,0.3524287847433661,0.1474630634156619,6.04390161800877,-0.07581184022313885,0.0638981901396863,0.17621439237168304,0.181122806800918,0.11722823906939431,0.6214901724829522,0.9382270356999599,0.8209987966305656,0.8129610577352445,2.450209969406043,0.1870287854244698,0.7234757320497393,0.0,0.0
target_aux_min_next_two_quarters_yoy,4,20244,lightgbm,19944,44.047475899977144,0.2835729002770804,0.09649450413631083,6.000185474027147,-0.12181184613659339,0.047539407651944844,0.1417864501385402,0.12832549902512558,0.11717809867629363,0.5413156839149619,0.9122543120738067,0.795076213397513,0.611415539786876,1.7586490667707044,0.624806128395544,0.7992880064179703,0.0025571600481347776,0.0
target_aux_min_next_two_quarters_yoy,4,20244,regularized_linear,19944,18.350644399994053,192.1182763638352,191.99989670005695,192.21327762681872,-192.1182763638352,19.22332744966324,96.0591381819176,10.520309618035522,0.0,0.0,0.9997994384275972,0.9997994384275972,296.9367400531833,297.43637067698774,0.20987591675343895,0.7558664259927798,0.0,0.0
target_aux_min_next_two_quarters_yoy,4,20244,seasonal_naive,19944,0.03040400001918897,0.5706755165821461,0.14323205930967292,9.257617479911671,0.24724777873933862,0.31609901390707085,0.28533775829107305,0.14513235402917174,0.08107701564380265,0.49508624147613317,0.9286502206177296,0.847573204973927,1.0266641603757658,4.612313679362427,0.39831910219651856,0.7157039711191335,0.0,0.0
target_aux_min_next_two_quarters_yoy,4,20244,xgboost,19944,365.03621660004137,0.28255838989821086,0.09579431846660058,5.993051910585592,-0.11855641555185638,0.047723438260835464,0.14127919494910543,0.12824771749676425,0.12760730044123547,0.5503409546730846,0.9121540312876053,0.7845467308463698,0.6578922271728516,1.759711558585192,0.628102139217548,0.7990373044524669,0.00421179302045728,0.0
target_b_next_two_quarters_yoy,1,20241,catboost,20152,159.1255259999889,0.42825846178928806,0.11365445607649682,11.139392631466597,-0.24054108261068397,0.06637780754227712,0.21412923089464403,0.22279401231705664,0.11780468439857086,0.5294759825327511,0.9110262008733624,0.7932215164747916,0.8712776682743064,2.891718198593338,0.5725807415535,0.7234021437078205,0.0007939658594680428,0.0
target_b_next_two_quarters_yoy,1,20241,industry_median,20152,0.10914150002645329,0.5148647856924526,0.17130358738281803,11.279008085163769,-0.22006983972172917,0.07841068346749674,0.2574323928462263,0.3101625739421404,0.12172489082969433,0.6389936482731242,0.92695514092894,0.8052302500992458,0.9873852730616984,3.885732574096371,0.08391993234735498,0.500793965859468,0.0,0.0
target_b_next_two_quarters_yoy,1,20241,lightgbm,20152,37.723926699953154,0.4213293874552558,0.11204051123251013,11.209977850839435,-0.23502079494492442,0.064381563359688,0.2106646937276279,0.20903853645925524,0.1250992457324335,0.54614926558158,0.9063616514489877,0.7812624057165541,0.7869033866641447,2.734200998189432,0.5822737832438207,0.7182413656212783,0.0031758634378721714,0.0
target_b_next_two_quarters_yoy,1,20241,regularized_linear,20152,16.671405799977947,227.28598867660327,226.98731377004532,227.5654994282363,-227.28598867660327,26.331396893370137,113.64299433830163,0.5623039383945975,0.0,0.0,0.10862445414847162,0.10862445414847162,262.7125824575861,268.9370083176473,0.08026710468542125,0.5712584358872569,1.0,0.0
