target,기준_년분기_코드,rows,valid_rows,mean,std,min,p01,p10,p50,p90,p99,max
target_b_next_two_quarters_yoy,20222,22250,20338,0.33793723454796865,7.778810938533445,-0.9996650247069956,-0.8030555365975652,-0.34641558975388265,0.05405204724912993,0.7568255562637478,3.887843213316308,1022.7006173121353
target_b_next_two_quarters_yoy,20223,22113,20336,0.2642798394296373,2.3469609435448513,-0.9995679157482191,-0.7830337342561997,-0.30762415517497776,0.06496908971325632,0.7414118316322773,3.5020969666794586,206.6602741157449
target_b_next_two_quarters_yoy,20224,22216,20321,0.4439475720685935,16.956566363762256,-0.9989212939634334,-0.7784366906165494,-0.31054713897278474,0.04961713276113411,0.6455531503482328,3.7658557630462632,1751.0160465405515
target_b_next_two_quarters_yoy,20231,22106,20268,0.43966695071958534,26.971835168740675,-0.9973679926642719,-0.7729001299396419,-0.34425196529265506,0.0,0.4799891016293024,3.311893043200841,3338.8253120771046
target_b_next_two_quarters_yoy,20232,22083,20281,0.29428501546530555,10.201567842662824,-0.9958244234605663,-0.7711555255069407,-0.34493993080984997,-0.00839413815692125,0.49738762764071254,3.4573345726841977,1211.8654571113518
target_b_next_two_quarters_yoy,20233,22017,20265,0.15081487078445133,2.4843135541291685,-0.9971552366062469,-0.7811455668862543,-0.3514157976570088,-0.012959922171182248,0.4709016887219962,3.2577744575005663,146.55725668072202
target_b_next_two_quarters_yoy,20234,22040,20209,0.17366957614692582,3.417659111360295,-0.9979356243273593,-0.7961148296133667,-0.3456834168005379,-0.02198313216205794,0.4496757859076252,3.309471882150228,284.9060812316357
target_b_next_two_quarters_yoy,20241,21910,20152,0.26201156415763294,11.275580837361401,-0.9961068357071162,-0.800017811734653,-0.3614231247824987,-0.03414434808377875,0.4533993167096352,3.8183593081887017,1521.9269270368018
target_b_next_two_quarters_yoy,20242,21887,20055,0.10838655849818775,1.8169406209771888,-0.9972791651345072,-0.8165063892887295,-0.368234856937578,-0.035563093773312016,0.4171996508335847,3.1733294794175215,146.30802033952514
target_b_next_two_quarters_yoy,20243,21718,19952,0.13212282313549378,5.468775965751797,-0.9990827700878115,-0.8028833252210069,-0.38120027739847073,-0.044446325422634214,0.3809830438681656,2.874506218762953,648.5118058718128
target_b_next_two_quarters_yoy,20244,21664,19944,0.17440354840921182,6.9530759357940655,-0.9993380400747169,-0.8373239025200467,-0.3809135536381216,-0.055750796201331054,0.3605148660043108,3.0587061026265694,782.9856541542042
target_aux_min_next_two_quarters_yoy,20214,22354,20412,0.08568618061026224,3.536147987852474,-0.9996093738706341,-0.9185775136503498,-0.508794380717016,-0.04062343006937208,0.4220155706061861,2.6989689187805066,399.4144939480399
target_aux_min_next_two_quarters_yoy,20221,22255,20336,0.12439893030796523,2.4860341926067435,-0.9999378657260759,-0.9206821005343763,-0.49972896546182993,-0.020315516382696353,0.5696055265104546,2.9357133451090305,231.024583
target_aux_min_next_two_quarters_yoy,20222,22250,20338,0.08741647233983506,4.684837736159492,-0.999998863108393,-0.923884887031581,-0.5074255908720241,-0.04012736872298789,0.45693099492112327,2.599148635325925,590.9861143750447
target_aux_min_next_two_quarters_yoy,20223,22113,20336,0.025363952667282686,1.350209654476114,-0.999998863108393,-0.9217261491074439,-0.5058036343804615,-0.042625133814138516,0.4315213696390535,2.2085675510812046,141.62286910276848
target_aux_min_next_two_quarters_yoy,20224,22216,20321,0.06080697027851156,6.384824721076362,-0.9999465725854174,-0.9107894716524524,-0.48577817236984266,-0.06243142808308999,0.3367036014716247,2.1290197092194862,878.1818414130026
target_aux_min_next_two_quarters_yoy,20231,22106,20268,0.11642614100574039,14.88482604517234,-0.9998406633794586,-0.8988642311828754,-0.49993082759628793,-0.08396823951307081,0.25237465589556013,2.0390031516663623,1908.0724921130989
target_aux_min_next_two_quarters_yoy,20232,22083,20281,-0.022623268204003847,1.9388862937884246,-0.9998368851327291,-0.9046882520229892,-0.5029239703371796,-0.09255138328370516,0.25113340869807677,1.9898160546232377,167.31999831943145
target_aux_min_next_two_quarters_yoy,20233,22017,20265,-0.04171055708755598,1.515588808064513,-0.9999934482758621,-0.9120413313360058,-0.510357014093615,-0.09743992874552176,0.23645649858457035,1.9344159511127552,130.26998596710234
target_aux_min_next_two_quarters_yoy,20234,22040,20209,-0.029032220000955605,2.2446537444676165,-0.9985228154642638,-0.9094949075156606,-0.5085951716440669,-0.10525049432990963,0.22282119396814498,2.011540018550122,236.57895019561852
target_aux_min_next_two_quarters_yoy,20241,21910,20152,0.06812707912764367,10.160123288891127,-0.998346374553155,-0.9132904327258345,-0.5158122943178303,-0.11346244830284208,0.22907233574772595,2.4725598101422523,1385.454419519817
target_aux_min_next_two_quarters_yoy,20242,21887,20055,-0.07270189630342375,1.2530342195260833,-0.9999580105494853,-0.9167525175964872,-0.5270991707283222,-0.11707357460572576,0.19206322838183795,1.7788405852430245,86.08188850721982
target_aux_min_next_two_quarters_yoy,20243,21718,19952,-0.04675282864068472,4.112444607873385,-0.9993372461368248,-0.9134299263439561,-0.5345880235481959,-0.12549599902883907,0.18376439612694284,1.8653367767373534,532.2190551647113
target_aux_min_next_two_quarters_yoy,20244,21664,19944,-0.01771885345859311,6.0424973623620755,-0.999833652141592,-0.9191480781896203,-0.5308429320154973,-0.13238185975732192,0.16672640786777668,1.8090911669099263,738.4750658255841
target_challenger_next_quarter_qoq,20214,22354,21669,0.4912723554603678,36.00427008650706,-0.9999751600019872,-0.8803269988020223,-0.48812053187176335,-0.10938758018221006,0.32805197730604774,4.001175054123755,4858.237044517016
target_challenger_next_quarter_qoq,20221,22255,21694,1.4605199669025966,136.71894253928136,-0.9993673135593221,-0.7979512233045526,-0.2406851397310257,0.16280389879301282,1.0805483753363625,6.043772145711392,20127.82608695652
target_challenger_next_quarter_qoq,20222,22250,21594,0.7867265467780347,47.58438237138415,-0.9999045458255563,-0.820658284848371,-0.36136434769528564,-0.007551376064015847,0.3902891387716106,3.9701919011989695,5099.052352941177
target_challenger_next_quarter_qoq,20223,22113,21598,0.44354005602415186,21.33643286549271,-0.9999981878706028,-0.8076958846113526,-0.30049064989744706,0.0049600032511358805,0.5141439808619548,4.447611119293016,2988.2934292499913
target_challenger_next_quarter_qoq,20224,22216,21590,18.23709730991202,2532.7016754793394,-0.9995455658737676,-0.8333370957779447,-0.3623044651459294,-0.038356933732418275,0.4359826985843481,5.195713438686361,371900.74052478134
target_challenger_next_quarter_qoq,20231,22106,21504,0.4862885970376408,13.056568823115672,-0.9996928474266366,-0.810705382762405,-0.2931241436516846,0.04745480311506267,0.5610728929392096,4.69832588417587,1247.2853745541022
target_challenger_next_quarter_qoq,20232,22083,21541,0.5862192316813025,28.87417559333059,-0.9992095089672408,-0.8197189553655814,-0.3558823346813329,-0.019031530481315784,0.38338437064596276,4.060137026894737,3129.3105689589024
target_challenger_next_quarter_qoq,20233,22017,21486,0.4131286282779461,9.969305743186595,-0.9999375347529933,-0.8120608425754132,-0.30680428450239405,0.0,0.5550710808868786,5.412499604480044,1171.8277427739881
target_challenger_next_quarter_qoq,20234,22040,21397,0.9178724908933534,76.69205890630717,-0.9999940038314254,-0.8304896200335292,-0.35935092697110027,-0.040259518135431605,0.382564277287787,3.7378748266828086,10636.779797979798
target_challenger_next_quarter_qoq,20241,21910,21347,0.5143667726788336,21.18071945292465,-0.9987554405749871,-0.7867693009328204,-0.2782064372589649,0.033464361540207266,0.583213016821155,4.731861998618134,2841.0078185616235
target_challenger_next_quarter_qoq,20242,21887,21295,2.2865188438441866,262.01339142732826,-0.9997542344037881,-0.8374221738916953,-0.3974456511762483,-0.034842173555160616,0.3224659549693611,3.274658401502598,37999.0
target_challenger_next_quarter_qoq,20243,21718,21143,0.3534527679198496,10.419002960843363,-0.9998764011561725,-0.803641680072666,-0.3119614311272946,0.002295407047716136,0.5499824587822265,4.570485654495557,1318.6488486842106
target_challenger_next_quarter_qoq,20244,21664,21025,3.000276931257132,413.85088942649253,-0.9975414711965567,-0.8363297082756643,-0.37937795956803816,-0.0727064143194226,0.32540161393700434,3.408986001888096,60005.404366812225
