target,서비스_업종_코드,rows,valid_rows,mean,p10,p50,p90
target_b_next_two_quarters_yoy,CS300007,5720,5271,0.02203889910494398,-0.34681788419392245,-0.06259489181806677,0.33471956339769626
target_b_next_two_quarters_yoy,CS300008,2037,1876,0.13611355604255823,-0.27336780276089273,0.0,0.35924701627791844
target_b_next_two_quarters_yoy,CS300009,3822,3395,0.3001353362445889,-0.32977007861093177,0.004999897313504809,0.5552519934451834
target_b_next_two_quarters_yoy,CS300010,4846,4032,0.6465250902343214,-0.3998488474656902,0.0,0.8294558007943981
target_b_next_two_quarters_yoy,CS300011,11411,10591,0.2646104471573111,-0.45914417879831193,-0.035062851047584775,0.6873377688616416
target_b_next_two_quarters_yoy,CS300014,1811,1643,0.6350602819221578,-0.4419217980291348,-0.04803539669829204,0.51772400694555
target_b_next_two_quarters_yoy,CS300015,834,716,0.24185530382873346,-0.557302316625636,-0.0168189357110215,0.7711414329900842
target_b_next_two_quarters_yoy,CS300016,2710,2580,0.017690254866672344,-0.2171201065560931,0.0009751381085564281,0.2402093805132639
target_b_next_two_quarters_yoy,CS300017,2318,2100,0.35907574165542205,-0.6005669260577448,-0.05244969428631058,1.0989625177018847
target_b_next_two_quarters_yoy,CS300018,7651,7352,0.07892712076677724,-0.16020552304196534,0.005592268689927016,0.251196563889968
target_b_next_two_quarters_yoy,CS300019,2153,1821,0.6704911162048226,-0.5316806048680677,-0.02005845061728395,0.9671043383714351
target_b_next_two_quarters_yoy,CS300020,2016,1708,0.4055346870133194,-0.48859747425236005,-0.0660552837372495,0.7202385872107991
target_b_next_two_quarters_yoy,CS300021,3501,3186,0.16592154101669399,-0.42994292585890664,-0.0789899430162484,0.35863011892439134
target_b_next_two_quarters_yoy,CS300022,6922,6112,0.3639024641351641,-0.5624204110464505,-0.04499403539605773,0.8832845749243825
target_b_next_two_quarters_yoy,CS300024,1752,1511,0.8069206159351265,-0.5061606476880951,-0.029498530311406146,0.8691286556240134
target_b_next_two_quarters_yoy,CS300025,408,347,0.14699875939757556,-0.5546892020099192,-0.10873123842624177,0.7598783065253886
target_b_next_two_quarters_yoy,CS300026,204,139,0.12971792013213623,-0.44143616818221304,-0.04016559317141,0.5389854574868057
target_b_next_two_quarters_yoy,CS300027,1391,1153,0.05651330531336048,-0.47974342708949663,-0.05595218721383377,0.6656393090656357
target_b_next_two_quarters_yoy,CS300028,3928,3512,0.1346634957117557,-0.426311266193788,-0.01791481922863436,0.6088541285245367
target_b_next_two_quarters_yoy,CS300029,906,692,-0.003586138891128523,-0.4729700109224689,-0.12319955876435379,0.39089490999931004
target_b_next_two_quarters_yoy,CS300031,1477,1221,1.9894390065197602,-0.5904232811137857,-0.10287082116654,0.8631676024294066
target_b_next_two_quarters_yoy,CS300032,817,606,0.9888149667782932,-0.6251186652769798,-0.10361425108923089,0.9650614690310901
target_b_next_two_quarters_yoy,CS300033,2227,2046,0.060063374677876355,-0.43797295543885967,-0.04632649370260805,0.5335887183308974
target_b_next_two_quarters_yoy,CS300035,2640,2006,0.845725480361993,-0.6601955303196723,-0.00983158536770895,1.4407784029257544
target_b_next_two_quarters_yoy,CS300036,2254,1985,0.25230977863092335,-0.48846310208488464,-0.023538559246033208,0.8343043675538715
target_b_next_two_quarters_yoy,CS300043,1939,1171,0.9783460634434334,-0.5890323580131491,0.0,1.80329773824415
target_aux_min_next_two_quarters_yoy,CS100001,18376,18069,0.08694478639045851,-0.22512743247948297,0.0013155922681855614,0.29138340504876514
target_aux_min_next_two_quarters_yoy,CS100002,5971,5382,-0.006429343305484524,-0.3534013148363655,-0.05060830063057836,0.3036058836242399
target_aux_min_next_two_quarters_yoy,CS100003,4530,4130,-0.03228063092782769,-0.39013574327729195,-0.08357004429625031,0.29483708406119236
target_aux_min_next_two_quarters_yoy,CS100004,4500,4128,0.06832456427614426,-0.4259875328517585,-0.07031647612105063,0.4078224727643122
target_aux_min_next_two_quarters_yoy,CS100005,5738,5173,-0.038097343208341745,-0.35296643626793156,-0.07924768315662223,0.15222419901989873
target_aux_min_next_two_quarters_yoy,CS100006,5651,5015,-0.06403335231437329,-0.46263784759231763,-0.12051309438702784,0.178276751485715
target_aux_min_next_two_quarters_yoy,CS100007,7533,6964,-0.09115530560773846,-0.5012162826910617,-0.1402521148121328,0.32222267507544766
target_aux_min_next_two_quarters_yoy,CS100008,10552,9874,0.004601703354765904,-0.4330334676188323,-0.07215891568826516,0.2859095511339635
target_aux_min_next_two_quarters_yoy,CS100009,11965,11428,0.040429011711896924,-0.42662603278319117,-0.06127331282797516,0.5696926847358622
target_aux_min_next_two_quarters_yoy,CS100010,14105,13381,0.031024973030679102,-0.38225154915706683,-0.06083624444821045,0.3064308842879333
target_aux_min_next_two_quarters_yoy,CS200001,8441,7821,0.026495628223974364,-0.5165375409670026,-0.051390128127856705,0.4657534345223908
target_aux_min_next_two_quarters_yoy,CS200002,946,773,0.14678418467938228,-0.5452417279639482,-0.02869498337833143,0.6065643061989111
target_aux_min_next_two_quarters_yoy,CS200003,6693,6053,0.018098633417013805,-0.5878875500677962,-0.08868901753974279,0.576160538896069
target_aux_min_next_two_quarters_yoy,CS200005,6223,5535,0.043547667864698256,-0.5926797168104081,-0.1397059968355343,0.47235446607233006
target_aux_min_next_two_quarters_yoy,CS200006,6630,6458,0.03348800020050035,-0.2247911223513803,-0.011108355015185367,0.2718012806417523
target_aux_min_next_two_quarters_yoy,CS200007,4995,4888,-0.07740858050884807,-0.368559701503633,-0.09218883554990953,0.17924017299852588
target_aux_min_next_two_quarters_yoy,CS200008,4169,4014,-0.09073547345007174,-0.4411099588223982,-0.12288124551783858,0.24845299973583673
target_aux_min_next_two_quarters_yoy,CS200016,4532,4202,0.07557154966107177,-0.48045908445363017,-0.027625211322174548,0.550872099169466
target_aux_min_next_two_quarters_yoy,CS200017,1823,1664,-0.10606954454300696,-0.5280271295325635,-0.15999995540735612,0.23820810553056132
target_aux_min_next_two_quarters_yoy,CS200019,1810,1546,-0.08393039550671079,-0.4695186071401648,-0.0995030933801544,0.2858219744647551
target_aux_min_next_two_quarters_yoy,CS200024,3090,2682,-0.1084234460292756,-0.6041268193265039,-0.19158595723006133,0.31300567396787393
