run_id,model,feature_set_id,서비스_업종_코드,rows,positive_rate,average_precision,roc_auc,precision_at_0_5,recall_at_0_5,f1_at_0_5,predicted_positive_rate_at_0_5
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS300031,359,0.25069637883008355,0.5026628099331603,0.7281701776125568,0.5079365079365079,0.35555555555555557,0.41830065359477125,0.17548746518105848
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS300032,172,0.3081395348837209,0.4609906204446267,0.692722371967655,0.48717948717948717,0.3584905660377358,0.41304347826086957,0.22674418604651161
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS300033,616,0.288961038961039,0.40840290723459693,0.6639346364988971,0.4666666666666667,0.19662921348314608,0.2766798418972332,0.12175324675324675
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS300035,596,0.25838926174496646,0.44896840232325763,0.7189281306928366,0.5333333333333333,0.2597402597402597,0.34934497816593885,0.12583892617449666
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS300043,371,0.23450134770889489,0.3687320990661867,0.6589363768819816,0.43902439024390244,0.20689655172413793,0.28125,0.1105121293800539
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS200001,2410,0.2829875518672199,0.6857073427454203,0.860566348973607,0.7211538461538461,0.4398826979472141,0.546448087431694,0.17261410788381742
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS200019,439,0.5170842824601367,0.8219416122738932,0.8387706757543013,0.8,0.6343612334801763,0.7076167076167076,0.41002277904328016
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS200032,175,0.2571428571428571,0.4167670173154053,0.6801709401709402,0.43333333333333335,0.28888888888888886,0.3466666666666667,0.17142857142857143
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS300003,278,0.32014388489208634,0.5320782611686004,0.7036442542060519,0.5357142857142857,0.33707865168539325,0.41379310344827586,0.2014388489208633
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS200025,1450,0.2103448275862069,0.4565724258891181,0.7530331448206743,0.57,0.18688524590163935,0.2814814814814815,0.06896551724137931
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS300026,39,0.358974358974359,0.6415160514784575,0.7742857142857142,0.6363636363636364,0.5,0.56,0.28205128205128205
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS300025,98,0.2755102040816326,0.35948338629623805,0.6280646844027126,0.375,0.3333333333333333,0.35294117647058826,0.24489795918367346
xgboost__trial16,xgboost,tree_plus_transaction_count_raw_components,CS200026,173,0.30057803468208094,0.47291992480072237,0.704227590591227,0.4411764705882353,0.28846153846153844,0.3488372093023256,0.19653179190751446
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS100001,5554,0.1852718761253151,0.5550402601306902,0.8473997712739397,0.6273062730627307,0.3304178814382896,0.4328453214513049,0.09758732445084624
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS100002,1698,0.33510011778563015,0.6940478557256469,0.8267546283396197,0.706601466992665,0.507908611599297,0.591002044989775,0.2408716136631331
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS100003,1282,0.45553822152886114,0.8015990421628374,0.8310363268830708,0.7432950191570882,0.6643835616438356,0.701627486437613,0.40717628705148207
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS100004,1283,0.39438815276695244,0.7336655275271786,0.8147939017504235,0.7152466367713004,0.6304347826086957,0.6701680672268907,0.34762275915822294
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS100005,1564,0.3177749360613811,0.6436099760718265,0.7906049228831281,0.678030303030303,0.36016096579476864,0.4704336399474376,0.16879795396419436
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS100006,1526,0.41874180865006555,0.7697159233555788,0.8320303885192655,0.7462121212121212,0.6165884194053208,0.675235646958012,0.34600262123197906
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS100007,2078,0.48267564966313764,0.7852042839786052,0.8080818011083031,0.7483069977426636,0.6610169491525424,0.7019587083112758,0.42637151106833493
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS100008,3033,0.3537751401252885,0.7086359109894698,0.8285923502672271,0.752542372881356,0.41379310344827586,0.533974744437763,0.1945268710847346
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS100009,3508,0.3187001140250855,0.6874406670260728,0.8304097648969694,0.658102766798419,0.5957066189624329,0.6253521126760564,0.28848346636259975
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS100010,4154,0.291044776119403,0.6528156071199592,0.8215123978199722,0.7081005586592178,0.41935483870967744,0.5267532467532468,0.17236398651901783
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200006,1998,0.14614614614614616,0.4112612599600585,0.775084713099616,0.6031746031746031,0.13013698630136986,0.2140845070422535,0.03153153153153153
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200007,1506,0.20053120849933598,0.4467838273486124,0.7730220457195661,0.5163934426229508,0.20860927152317882,0.2971698113207547,0.08100929614873838
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200016,1297,0.27602158828064766,0.6231897977146531,0.8082888607278633,0.6683673469387755,0.3659217877094972,0.4729241877256318,0.15111796453353893
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200024,839,0.4123957091775924,0.7306206342500813,0.7924527195769678,0.7120622568093385,0.5289017341040463,0.6069651741293532,0.3063170441001192
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200028,4384,0.2664233576642336,0.5960331234219618,0.8004458124616642,0.6735042735042736,0.3373287671232877,0.4495151169423845,0.1334397810218978
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200029,1017,0.400196656833825,0.6260914075510373,0.7216900954605873,0.6548672566371682,0.36363636363636365,0.4676145339652449,0.2222222222222222
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200030,1156,0.2378892733564014,0.5111701681098723,0.7732782994531009,0.5606936416184971,0.3527272727272727,0.4330357142857143,0.14965397923875431
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200031,1546,0.2238033635187581,0.3952062164609538,0.6784850674373796,0.47674418604651164,0.23699421965317918,0.3166023166023166,0.111254851228978
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200037,2043,0.29515418502202645,0.5551770077191363,0.7701469504330202,0.5781584582441114,0.44776119402985076,0.5046728971962616,0.22858541360744003
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300001,3323,0.33012338248570566,0.7379026007527522,0.8555768775579236,0.7532981530343008,0.5205104831358249,0.615633423180593,0.22810713210953956
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300002,2751,0.2813522355507088,0.6709904795948182,0.8199951901649329,0.7170212765957447,0.4354005167958656,0.5418006430868167,0.1708469647400945
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300010,1240,0.24435483870967742,0.606290152553616,0.8120572996467204,0.6787878787878788,0.3696369636963696,0.47863247863247865,0.13306451612903225
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300011,3264,0.35324754901960786,0.5723198078197513,0.7211829334880318,0.6039603960396039,0.42324371205550737,0.49770525242223357,0.24754901960784315
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300014,494,0.4109311740890688,0.5877041137067107,0.7004722969884719,0.6106870229007634,0.39408866995073893,0.47904191616766467,0.2651821862348178
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300015,215,0.3953488372093023,0.6300628536168972,0.73710407239819,0.5740740740740741,0.36470588235294116,0.4460431654676259,0.25116279069767444
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300016,805,0.2248447204968944,0.4938188665645257,0.7312119280351324,0.5888888888888889,0.292817679558011,0.39114391143911437,0.11180124223602485
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300017,644,0.36490683229813664,0.6006564709086777,0.7523071320813609,0.6137566137566137,0.49361702127659574,0.5471698113207547,0.29347826086956524
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300018,2260,0.12212389380530973,0.5674069382283378,0.87921853085554,0.7115384615384616,0.26811594202898553,0.3894736842105263,0.04601769911504425
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300020,514,0.39883268482490275,0.6173260479683318,0.7180835109321967,0.6136363636363636,0.3951219512195122,0.4807121661721068,0.25680933852140075
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300022,1851,0.35386277687736356,0.6568897753774535,0.781311751640328,0.6673511293634496,0.4961832061068702,0.5691768826619965,0.2631010264721772
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300024,463,0.3174946004319654,0.5697967602189666,0.7281064324463963,0.5511811023622047,0.47619047619047616,0.5109489051094891,0.27429805615550756
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300027,337,0.36795252225519287,0.5675606662255274,0.6878312888081175,0.6097560975609756,0.4032258064516129,0.4854368932038835,0.2433234421364985
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300028,1083,0.31117266851338876,0.4659263803156632,0.6783876023261549,0.47038327526132406,0.40059347181008903,0.4326923076923077,0.26500461680517085
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300036,596,0.2902684563758389,0.47262835434235934,0.7235272414217193,0.5172413793103449,0.3468208092485549,0.41522491349480967,0.19463087248322147
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200002,250,0.24,0.6502479954015743,0.8507894736842105,0.6744186046511628,0.48333333333333334,0.5631067961165048,0.172
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200003,1882,0.28746014877789583,0.62299997475328,0.8081907038227053,0.6497005988023952,0.4011090573012939,0.496,0.17747077577045697
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200005,1755,0.29971509971509974,0.6067594797994725,0.7876910035362144,0.6371681415929203,0.41064638783269963,0.49942196531791905,0.19316239316239317
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200008,1235,0.22753036437246962,0.49321997430914555,0.7778150809104949,0.5933333333333334,0.3167259786476868,0.41299303944315546,0.1214574898785425
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200017,528,0.4412878787878788,0.7586555402769087,0.8177202298683348,0.7330097087378641,0.648068669527897,0.6879271070615034,0.39015151515151514
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200033,72,0.2638888888888889,0.6221552049983005,0.7706057596822244,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.125
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200034,699,0.45064377682403434,0.6883293652280407,0.7412202380952381,0.648854961832061,0.5396825396825397,0.5892547660311959,0.3748211731044349
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300004,656,0.31859756097560976,0.508278172637682,0.6988857133682284,0.5434782608695652,0.3588516746411483,0.4322766570605187,0.21036585365853658
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300006,198,0.23737373737373738,0.5601866148615343,0.7796251937438353,0.5666666666666667,0.3617021276595745,0.44155844155844154,0.15151515151515152
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300007,1584,0.34785353535353536,0.6012298620291643,0.7639897888728231,0.6153846153846154,0.4646098003629764,0.5294725956566702,0.26262626262626265
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300008,566,0.2597173144876325,0.6100585457226558,0.7844397902359035,0.7101449275362319,0.3333333333333333,0.4537037037037037,0.12190812720848057
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300009,1042,0.22648752399232247,0.5605353703625655,0.7974040038692854,0.7075471698113207,0.3177966101694915,0.43859649122807015,0.1017274472168906
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300019,553,0.2820976491862568,0.5399954219930121,0.7630950074275012,0.5462962962962963,0.3782051282051282,0.44696969696969696,0.19529837251356238
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300021,962,0.46153846153846156,0.7625301567804512,0.7784053358377683,0.765079365079365,0.5427927927927928,0.6350461133069829,0.32744282744282743
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300029,217,0.42857142857142855,0.6508888850359442,0.7741068331599028,0.6951219512195121,0.6129032258064516,0.6514285714285715,0.3778801843317972
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300031,359,0.25069637883008355,0.5029291940069675,0.7125980999586947,0.4457831325301205,0.4111111111111111,0.4277456647398844,0.23119777158774374
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300032,172,0.3081395348837209,0.4342965032361939,0.671000475661963,0.4883720930232558,0.39622641509433965,0.4375,0.25
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300033,616,0.288961038961039,0.4144288772215121,0.6655764198861012,0.4673913043478261,0.24157303370786518,0.31851851851851853,0.14935064935064934
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300035,596,0.25838926174496646,0.4524191507966367,0.7146236116824352,0.4583333333333333,0.2857142857142857,0.352,0.1610738255033557
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300043,371,0.23450134770889489,0.3456542804292181,0.6537153958232151,0.43478260869565216,0.22988505747126436,0.3007518796992481,0.12398921832884097
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200001,2410,0.2829875518672199,0.6718655450937565,0.8528149437927663,0.7125603864734299,0.43255131964809385,0.5383211678832117,0.17178423236514523
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200019,439,0.5170842824601367,0.8235586362394474,0.84379935167484,0.7956989247311828,0.6519823788546255,0.7167070217917676,0.42369020501138954
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200032,175,0.2571428571428571,0.46345915898701895,0.7174358974358974,0.5384615384615384,0.3111111111111111,0.39436619718309857,0.14857142857142858
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300003,278,0.32014388489208634,0.4833900139552172,0.6723143689435824,0.4745762711864407,0.3146067415730337,0.3783783783783784,0.21223021582733814
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200025,1450,0.2103448275862069,0.44861794908792835,0.7461951463955903,0.5378151260504201,0.2098360655737705,0.3018867924528302,0.08206896551724138
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300026,39,0.358974358974359,0.562573961208415,0.7200000000000001,0.6,0.6428571428571429,0.6206896551724138,0.38461538461538464
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS300025,98,0.2755102040816326,0.3816153218486862,0.6306729264475743,0.40625,0.48148148148148145,0.4406779661016949,0.32653061224489793
catboost__trial18,catboost,tree_plus_worker_population_raw_components,CS200026,173,0.30057803468208094,0.5511315101211456,0.7237762237762237,0.5862068965517241,0.3269230769230769,0.41975308641975306,0.1676300578034682
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS100001,5554,0.1852718761253151,0.5621799369167021,0.8526645512190669,0.649706457925636,0.3226433430515063,0.43116883116883115,0.0920057616132517
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS100002,1698,0.33510011778563015,0.7001941019416494,0.8315335748232024,0.7036144578313253,0.5131810193321616,0.5934959349593496,0.24440518256772673
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS100003,1282,0.45553822152886114,0.8020110435500685,0.8317477528751424,0.746615087040619,0.660958904109589,0.701180744777475,0.4032761310452418
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS100004,1283,0.39438815276695244,0.7343436543343865,0.8186905143426881,0.7046511627906977,0.5988142292490118,0.6474358974358975,0.33515198752922837
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS100005,1564,0.3177749360613811,0.6530187283593065,0.7950872998063356,0.6851851851851852,0.3722334004024145,0.48239895697522817,0.17263427109974425
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS100006,1526,0.41874180865006555,0.7723390953131792,0.8380043507947347,0.7538461538461538,0.6134585289514867,0.6764452113891286,0.34076015727391873
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS100007,2078,0.48267564966313764,0.7880176612256957,0.81118690440307,0.7563636363636363,0.6221335992023929,0.6827133479212254,0.39701636188642925
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS100008,3033,0.3537751401252885,0.7144163406565996,0.8312009053388364,0.766497461928934,0.42218080149114634,0.5444711538461539,0.19485657764589515
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS100009,3508,0.3187001140250855,0.6924444204090666,0.8306008188561462,0.6755102040816326,0.592128801431127,0.6310772163965681,0.27936145952109465
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS100010,4154,0.291044776119403,0.65877145345413,0.8271981081335373,0.7008196721311475,0.42431761786600497,0.5285935085007728,0.17621569571497353
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS200006,1998,0.14614614614614616,0.4141902624834004,0.7777445438340105,0.62,0.10616438356164383,0.18128654970760233,0.025025025025025027
soft_voting_equal,soft_voting,three_selected_trial_probabilities,CS200007,1506,0.20053120849933598,0.46195639235586944,0.7818254823876263,0.559322033898305,0.2185430463576159,0.3142857142857143,0.07835325365205843
