run_id,model,feature_set_id,raw_group,feature_count,completed_folds,mean_average_precision,std_average_precision,min_average_precision,mean_roc_auc,std_roc_auc,min_roc_auc,mean_log_loss,std_log_loss,min_log_loss,mean_brier_score,std_brier_score,min_brier_score,mean_precision,std_precision,min_precision,mean_recall,std_recall,min_recall,mean_f1,std_f1,min_f1,mean_f2,std_f2,min_f2,mean_mcc,std_mcc,min_mcc,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,mean_accuracy,std_accuracy,min_accuracy,mean_predicted_positive_rate,std_predicted_positive_rate,min_predicted_positive_rate,mean_fit_seconds,std_fit_seconds,min_fit_seconds,mean_predict_seconds,std_predict_seconds,min_predict_seconds,total_fit_seconds,total_predict_seconds,delta_vs_same_model_common__mean_average_precision,delta_vs_same_model_common__mean_roc_auc,delta_vs_same_model_common__min_average_precision,delta_vs_same_model_common__std_average_precision,delta_vs_same_model_common__std_roc_auc,delta_vs_same_model_common__mean_brier_score,delta_vs_same_model_common__mean_log_loss,delta_vs_same_model_common__total_fit_seconds,delta_vs_same_model_common__total_predict_seconds
extra_trees__tree_plus_sales_amount_raw_components,extra_trees,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,4,0.46671179605546376,0.03539959251401364,0.43046244485067736,0.6841394716429449,0.007433250314358496,0.6737703647041349,0.5899862407455299,0.013927018727444436,0.5725237683438228,0.20200137364889592,0.006386002631243835,0.19409237199320328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.700830272585451,0.01656048542310516,0.6822151647479159,0.0,0.0,0.0,28.190411374991527,6.166114764307845,19.885327999974834,0.1822736249960144,0.008367120829093893,0.17037899998831563,112.76164549996611,0.7290944999840576,0.006566810755395502,0.005759725702636498,0.012873037311462054,-0.0013148205754687295,-0.0007194344621713382,-0.0009542864630656678,-0.0025089208824489173,16.53596389995073,0.05940229995758273
lightgbm__tree_plus_sales_amount_raw_components,lightgbm,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,4,0.6323275060454485,0.024851784677402067,0.5989113971157926,0.8057658843433916,0.004735881252408295,0.800121178944977,0.47960092925049636,0.009633165320203274,0.468802702583686,0.15815500801965388,0.003717840593667161,0.15421825574494294,0.6644464960610748,0.016545851637440455,0.6432232346241458,0.437645843506676,0.029033482898184863,0.3984126984126984,0.5274894615470639,0.026332670363554554,0.49204966238292314,0.4696128560242284,0.02841229630635412,0.43123854612095297,0.39536352868008384,0.01893685095293131,0.37068528491476055,0.6717390871096857,0.011618462864939238,0.6562806897339272,0.7663071097515592,0.005916448733421288,0.7563517268757444,0.19725010145272376,0.018466342505542556,0.17330372563533186,11.859792449999077,1.6080836085684853,9.908869300008519,0.06364144999679411,0.0026979769419035356,0.06010090000927448,47.43916979999631,0.25456579998717643,-0.0021015935689172593,-0.000158174396746813,-0.003219716646684412,0.00039867756201442117,0.00019424162505128975,0.00016279823270679006,0.00040186326196944844,4.137451700022211,-0.09616690000984818
xgboost__tree_plus_sales_amount_raw_components,xgboost,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,4,0.6335858494201208,0.024918445165462415,0.6008743914647342,0.8061128174944464,0.003722319120920759,0.8016013976422792,0.47895178844622455,0.009912865627439519,0.4681692518995348,0.1579991484389008,0.003721314995023817,0.15428183077280264,0.664408160749113,0.012595790468442584,0.6508474576271186,0.43684323681320053,0.024014513971625354,0.40634920634920635,0.5269360898799065,0.021237823599937755,0.5003257328990228,0.468888242829825,0.023315459968080796,0.43935926773455375,0.3947699030576574,0.013163253199112983,0.3802853080814233,0.6713517364272124,0.008804184840075202,0.6608313349320544,0.7660019434298084,0.006885569440318245,0.7553096466851925,0.19690008456777086,0.01723087269666098,0.17468541820873426,15.95197415000439,2.355906263089834,13.159965500002727,0.04488889999629464,0.0019811075644900165,0.04161800001747906,63.80789660001756,0.17955559998517856,0.000985389209060883,3.2256519502005254e-05,0.0004960213279207037,0.0004336402560374368,-0.00037050850755145645,3.32556234418635e-05,-6.272658076733606e-06,11.923652199999196,-0.000424799945903942
catboost__tree_plus_sales_amount_raw_components,catboost,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,4,0.5866451235147665,0.016767025751423185,0.5633221896342215,0.7807071264638104,0.004041041683603334,0.7740995476350703,0.5051233446603303,0.013584906974801664,0.49103992226828747,0.167961208940195,0.0056000266570640925,0.16202130054018124,0.6261209610114156,0.008033953604668104,0.6155735691476296,0.36831996985254484,0.04476171563577973,0.29241622574955906,0.4619956828856637,0.036819594746256484,0.4,0.40064904511931787,0.04309361810910696,0.3276679841897233,0.3288760217359448,0.017836093306417448,0.30304458236414933,0.6366739272169564,0.014128903769418612,0.6132516209254818,0.7453041818634328,0.011219750306935323,0.7289102818578801,0.1770403783549022,0.029503970057143215,0.12928694793979767,61.672501300003205,6.146214428149812,54.11968319999869,0.0,0.0,0.0,246.69000520001282,0.0,-0.0018144507074482341,-0.0011004834509336092,-0.00010556710059883567,-0.00011011368374117675,-0.0003123990999798149,0.0005703677272830832,0.0015041817315090134,16.0995165000204,0.0
random_forest__tree_plus_transaction_count_raw_components,random_forest,tree_plus_transaction_count_raw_components,transaction_count_raw_components,220,4,0.591730770225686,0.027089388179941762,0.5593681149936656,0.7793045939785396,0.0038905211641350737,0.7746397530501676,0.5248375796879747,0.010493980920409998,0.513227495130062,0.17634381814600167,0.004361733864789114,0.17146079426275063,0.8094153868626188,0.019982613220796162,0.7894736842105263,0.05435877497623174,0.025850039319316474,0.022222222222222223,0.1005979141446334,0.045613424120969595,0.043239533287577216,0.06659613407568725,0.031285220684226796,0.027585602942464312,0.15468407877277468,0.0403686140197518,0.10222700471078715,0.5244675374433685,0.011643258528901202,0.5100148452666439,0.713744747831696,0.009830557193528515,0.7013199682413657,0.020439113965197687,0.010286864887143027,0.007796693807056501,103.17812174999563,25.770604575791513,71.85752890000003,0.2041595249902457,0.017488310327223255,0.1874375999905169,412.7124869999825,0.8166380999609828,0.001277415840625462,-0.0003551884155440499,0.004726998677105243,-0.0014456535395984474,-0.0017844998755166689,-0.0003016653768410926,-0.0007564467945062603,79.95462360000238,0.025922799948602915
extra_trees__tree_plus_transaction_count_raw_components,extra_trees,tree_plus_transaction_count_raw_components,transaction_count_raw_components,220,4,0.4681232748170145,0.032449855755047795,0.4331778760389088,0.6861597303227994,0.0059833911123230304,0.6781823694350293,0.5883823840190799,0.013976901695857281,0.5715144307686408,0.20142655051751457,0.0063830953333932,0.1937672106272277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.700830272585451,0.01656048542310516,0.6822151647479159,0.0,0.0,0.0,29.455695550008386,7.054335750974395,21.887252000014996,0.1911255250015529,0.023626913477943677,0.16860000000451691,117.82278220003354,0.7645021000062115,0.007978289516946235,0.007779984382491056,0.015588468499693475,-0.0042645573344345725,-0.0021692936642068034,-0.00152910959444702,-0.004112777608898832,21.597100600018166,0.09480989997973666
lightgbm__tree_plus_transaction_count_raw_components,lightgbm,tree_plus_transaction_count_raw_components,transaction_count_raw_components,220,4,0.6343322053821734,0.02363462194605053,0.6040465015522657,0.8057740075822145,0.004297692405219724,0.801433979045033,0.47947096145730195,0.009572590382912891,0.46970118570841307,0.1580524067496604,0.003738130627899479,0.15450212309252456,0.6661005167515007,0.010549514007636871,0.6513840830449827,0.43604283824383355,0.029573843809326667,0.3984126984126984,0.526717134826729,0.024875129250548002,0.4944189100459619,0.46824347975503877,0.0283293063751588,0.4319642037631941,0.39541259991778005,0.015136690003035025,0.37613374043010306,0.6713155299295958,0.010541355863666817,0.6577880552700697,0.7664247533173404,0.0069614672778656895,0.755408892417626,0.1962159941445269,0.02069085197321176,0.17113249444855663,11.689555500001006,1.8161642129397175,9.971628100000089,0.06487824999931036,0.004043431271630947,0.05976830000872724,46.758222000004025,0.2595129999972414,-9.689423219239046e-05,-0.00015005115792388057,0.001915387789788725,-0.0008184851693371145,-0.00024394722213728123,6.019696271331032e-05,0.0002718954687750408,3.4565039000299294,-0.09121969999978319
xgboost__tree_plus_transaction_count_raw_components,xgboost,tree_plus_transaction_count_raw_components,transaction_count_raw_components,220,4,0.6333203853493107,0.024840078508298738,0.6002005461153115,0.8064305322997571,0.004006048187336943,0.8014620623984562,0.47869271085314424,0.009902505441271397,0.4678190431379456,0.15785463569702538,0.0037852333454570183,0.15391755471698262,0.6652933236251584,0.013555763441407855,0.6477561388653683,0.4374482792776137,0.024971270896479186,0.40476190476190477,0.5276345924272163,0.02202916874375161,0.4982090524259199,0.46952477406550774,0.024211592430704,0.4375929527514014,0.3957743068735149,0.014585239864833325,0.37731069025521546,0.6718044405499957,0.009506735911105652,0.6596265844467284,0.7663628722590123,0.006953215511521463,0.7553592695514093,0.19686337020768876,0.01691386298778734,0.17483345669874167,16.569896524997603,2.43217144543555,14.168995199986966,0.04512827500002459,0.00243041748283259,0.04323480001767166,66.27958609999041,0.18051310000009835,0.0007199251382508098,0.00034997132481273674,-0.00017782402150201548,0.0003552735988737593,-8.677944113527278e-05,-0.000111257118433572,-0.00026535025115703714,14.39534169997205,0.0005327000690158457
catboost__tree_plus_transaction_count_raw_components,catboost,tree_plus_transaction_count_raw_components,transaction_count_raw_components,220,4,0.5854582679408559,0.023785083639737855,0.550571889113456,0.7801889713432143,0.005359410490355463,0.7735558196915406,0.5058162146420591,0.01325071411496055,0.49390660014367255,0.16824337817945265,0.005398889897992698,0.16332825836375423,0.6205978557455452,0.009606964741121944,0.6095008051529791,0.36837193316752187,0.055601678744238665,0.27372134038800705,0.4597983777210922,0.0474422015384317,0.37960132077779135,0.39995755265995336,0.05403926284797864,0.3080954460634454,0.3252343348589838,0.02619032200414249,0.2839772697634127,0.6357616540258179,0.019016123205882512,0.604143986398183,0.7440614875508154,0.009418508351884005,0.7295057562524812,0.17847377945988074,0.03254996605166963,0.12371083148285221,62.36279662500601,5.823332164822232,54.48022460000357,0.0,0.0,0.0,249.45118650002405,0.0,-0.003001306281358862,-0.0016186385715296625,-0.01285586762136437,0.006907944204573493,0.001005969706772314,0.0008525369665407234,0.0021970517132378076,18.86069780003163,0.0
random_forest__tree_plus_floating_population_raw_components,random_forest,tree_plus_floating_population_raw_components,floating_population_raw_components,218,4,0.58851991779133,0.027061907180797814,0.5537713233005664,0.7788012956229692,0.005228243324187746,0.7724011690118805,0.5263660658800438,0.011722261370922625,0.5141374071664571,0.17695703550618452,0.004900299774632223,0.17186898577995244,0.8005552063201282,0.026597583079918632,0.7622641509433963,0.04292978072088777,0.01941773825874213,0.01675485008818342,0.0807227109160771,0.0350621938901272,0.0328208671618587,0.052817760049617114,0.023642896556973794,0.020834247116101583,0.13572953187944303,0.03347777767935886,0.08877754266483885,0.5191788403525457,0.008676224060462206,0.5075552256607412,0.7107772772671386,0.01196824359657602,0.6951667328304882,0.016303722878398083,0.00778411777254626,0.0058721934369602765,100.98812072500732,19.374763568919164,74.515080400015,0.19153039999946486,0.01799288438379925,0.16662319999886677,403.9524829000293,0.7661215999978594,-0.0019334365937305753,-0.0008584867711144417,-0.0008697930159938805,-0.0014731345387423954,-0.00044677771546399684,0.0003115519833417624,0.0007720393975627626,71.19461950004916,-0.024593700014520437
extra_trees__tree_plus_floating_population_raw_components,extra_trees,tree_plus_floating_population_raw_components,floating_population_raw_components,218,4,0.46526183486982486,0.03710852880134061,0.42683624763890665,0.6815571592099543,0.008954716196882467,0.6681190357664981,0.5906045249397155,0.013138650933978936,0.5743865336878426,0.2021853927998964,0.0060621738926234835,0.194803538399573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.700830272585451,0.01656048542310516,0.6822151647479159,0.0,0.0,0.0,29.88181030000851,3.978829571530834,23.295439600013196,0.16964759999973467,0.01157461315815404,0.1590524000057485,119.52724120003404,0.6785903999989387,0.00511684956975661,0.0031774132696459345,0.009246840099691345,0.00039411571185823946,0.0008020314203526328,-0.0007702673120651982,-0.0018906366882632808,23.301559600018663,0.008898199972463772
lightgbm__tree_plus_floating_population_raw_components,lightgbm,tree_plus_floating_population_raw_components,floating_population_raw_components,218,4,0.6341506969367736,0.025086672815886925,0.6001978892173454,0.8061325483344486,0.004464438914075591,0.8010908763540944,0.47901059438540405,0.009764350845057607,0.4684005575681895,0.15794095951498843,0.0038039358476310795,0.1540828451561716,0.6637337377534311,0.011964516885345573,0.6484574016416643,0.4385447512534423,0.02642966713502508,0.4040564373897707,0.5279114456496041,0.02292728841578313,0.497881125719874,0.47036645673667066,0.02552278143716744,0.4369969099301873,0.39521269788876234,0.015349283410637592,0.37738307842446717,0.6718520992600778,0.009932419694426658,0.6594794006064989,0.7660655967374495,0.007680680591010417,0.7535728463676062,0.19790803191269207,0.018451481264150728,0.17433999506538367,11.6395898999981,1.0960076607749452,10.244893099996261,0.07044545000098879,0.0021797252278459257,0.06706820000545122,46.5583595999924,0.28178180000395514,-0.00027840267759216,0.00020848959431019054,-0.0019332245451315622,0.0006335657004992792,-7.720071328141433e-05,-5.125027195865273e-05,-0.00018847160312285283,3.256641500018304,-0.06895089999306947
xgboost__tree_plus_floating_population_raw_components,xgboost,tree_plus_floating_population_raw_components,floating_population_raw_components,218,4,0.6327120923104996,0.02417873762623558,0.6008055679108216,0.8060932626380009,0.004167233023089889,0.8012482591402313,0.4791685130250838,0.009917325928513078,0.4687145943139172,0.15810771888649477,0.0038034571578305443,0.15436906641588552,0.6624991380914992,0.01443650956525127,0.6443313542550184,0.4323708049591391,0.025444781290157474,0.40194003527336863,0.5230700385041324,0.02291205158876248,0.49505810796133376,0.46457038417343216,0.02483594372641553,0.4346416447343327,0.3909571468053762,0.016310749597385734,0.3734152756074578,0.6692386660184828,0.010092816345687646,0.6578730666260643,0.7648153908747046,0.0074337280165701234,0.7524811433108376,0.19538754930453997,0.016810037164053847,0.17453737971872688,15.513724549986364,1.1897679556090124,13.490769199997885,0.044672924996120855,0.0024240482181695044,0.04224360000807792,62.054898199945455,0.17869169998448342,0.00011163209943976238,1.2701663056446932e-05,0.00042719777400812564,-0.00030606728318939916,7.440539461767322e-05,0.00014182607103582767,0.00021045192078250619,10.170653799927095,-0.0012886999465990812
catboost__tree_plus_floating_population_raw_components,catboost,tree_plus_floating_population_raw_components,floating_population_raw_components,218,4,0.5913255970785132,0.019238744685828788,0.5600495425929237,0.7836529654980162,0.005306000984822604,0.7787321560553603,0.5017733360251215,0.015162678995659207,0.4837471713774248,0.16670456016861462,0.006054818658241258,0.15963250623016478,0.6303719350608262,0.003158656321636544,0.6275412351361719,0.36715865187444807,0.045734525977384276,0.2885361552028219,0.4623243938228448,0.03884701006417644,0.3953123112238734,0.39993236037613467,0.044417511496925084,0.3234863763989402,0.3314792076121229,0.02099001916003732,0.29765832939829434,0.6373020119929045,0.015511885505477,0.6110032608833568,0.7465407585199064,0.010634972244554003,0.7345176657403731,0.1749790991103498,0.027884207848637668,0.12864544781643228,60.702955299995665,4.564307735090858,54.29100160000962,0.0,0.0,0.0,242.81182119998266,0.0,0.0028660228562984447,0.0018453555832722568,-0.0033782141418966516,0.002361605250664426,0.0009525602012394547,-0.0006862810442972989,-0.001845826903699721,12.22133249999024,0.0
random_forest__tree_plus_resident_population_raw_components,random_forest,tree_plus_resident_population_raw_components,resident_population_raw_components,217,4,0.5898397099917525,0.027572170989693202,0.554124477715112,0.7789333178845173,0.005535294132022231,0.7733881949617931,0.5266274060467948,0.011287429253937862,0.5153456942013531,0.17704099476108234,0.004706251498793081,0.17227184931250164,0.8086110321830776,0.03198139204754645,0.7631578947368421,0.03901936868535198,0.019831186866418982,0.015343915343915344,0.07366676387392626,0.03612147989060195,0.03008298755186722,0.04805729120626623,0.02420210960956303,0.019083969465648856,0.13032698056456893,0.03693414110085041,0.08099020290801276,0.5175940147906122,0.008947359394748534,0.5067469833656885,0.7101574220290419,0.011477479919700464,0.6958614529575228,0.014642391784906929,0.007837681084450621,0.005625462620281273,99.53838982500747,20.338730725440076,71.84883820000687,0.19202209998911712,0.005446906714464917,0.18720429998938926,398.1535593000299,0.7680883999564685,-0.0006136443933080216,-0.0007264645095663713,-0.0005166386014483493,-0.0009628707298470068,-0.00013972690762951122,0.000395511238239582,0.0010333795643138188,65.39569590004976,-0.022626900055911392
extra_trees__tree_plus_resident_population_raw_components,extra_trees,tree_plus_resident_population_raw_components,resident_population_raw_components,217,4,0.46034206556913,0.03842467361699365,0.4172212559471244,0.6793330849671094,0.007418624751586262,0.6703710658559998,0.5912594714493489,0.013143796057350549,0.5756818886891527,0.20245391252180886,0.006054234841676816,0.19529640784623045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.700830272585451,0.01656048542310516,0.6822151647479159,0.0,0.0,0.0,29.72732832499605,5.155505763276992,22.420224100002088,0.17782650000299327,0.019182217170514448,0.15926060001947917,118.9093132999842,0.7113060000119731,0.00019708026906173348,0.0009533390268010589,-0.0003681515920909151,0.0017102605275112828,-0.0007340600249435714,-0.0005017475901527291,-0.0012356901786299002,22.683631699968828,0.04161379998549819
