average_precision,roc_auc,log_loss,brier_score,threshold,precision,recall,f1,f2,mcc,balanced_accuracy,accuracy,predicted_positive_rate,tn,fp,fn,tp,status,run_id,model,feature_set_id,raw_group,feature_count,fold,train_rows,validation_rows,train_positive_rate,validation_positive_rate,fit_seconds,predict_seconds,convergence_warnings
0.5546411163165603,0.7730344220466409,0.5154358759201101,0.17237074249696008,0.5,0.7657657657657657,0.014991181657848324,0.029406677045493858,0.018647711816067745,0.08034263106576066,0.5066048748302945,0.7231186775228226,0.005477424130273871,14569,26,5585,85,completed,random_forest__common_baseline,random_forest,common_baseline,,197,1,122011,20265,0.2187671603380023,0.27979274611398963,56.92036260000896,0.20127969997702166,0
0.5707418107297657,0.7793968128832625,0.5151621840234359,0.1723547146721469,0.5,0.7777777777777778,0.029080837805089146,0.05606540964458535,0.03601440576230492,0.11316402256079455,0.5128774477273783,0.7200752140135583,0.010688307189865902,14384,48,5609,168,completed,random_forest__common_baseline,random_forest,common_baseline,,197,2,142292,20209,0.22654822477721867,0.28586273442525606,70.00053739998839,0.16996970001491718,0
0.6134988956766734,0.7775751880416608,0.5399074753055805,0.18246623736338113,0.5,0.8455114822546973,0.06324172392254841,0.11768124364376,0.0776010730024909,0.17685372671814237,0.5289295614084665,0.698640333465661,0.023769352917824532,13674,74,5999,405,completed,random_forest__common_baseline,random_forest,common_baseline,,197,3,162557,20152,0.23318589786967034,0.3177848352520842,93.76812470000004,0.21370790002401918,0
0.6229315948172428,0.7886327066047698,0.5318705706807971,0.17939023955888284,0.5,0.8133086876155268,0.07004138809296402,0.1289755239630661,0.08570649421481163,0.17952122020972225,0.5313540999856383,0.7036649214659686,0.026975816504612317,13672,101,5842,440,completed,random_forest__common_baseline,random_forest,common_baseline,,197,4,182766,20055,0.2390105380650668,0.31323859386686614,112.06883869998273,0.20575799999642186,0
0.4175894075392153,0.6694586039407325,0.5770781331854719,0.19583763730114184,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.7202072538860104,0.0,14595,0,5670,0,completed,extra_trees__common_baseline,extra_trees,common_baseline,,197,1,122011,20265,0.2187671603380023,0.27979274611398963,17.143747299996903,0.15776699999696575,0
0.42981082035117346,0.6715479362883705,0.5797349469279315,0.19716023674564156,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.7141372655747439,0.0,14432,0,5777,0,completed,extra_trees__common_baseline,extra_trees,common_baseline,,197,2,142292,20209,0.22654822477721867,0.28586273442525606,20.46441520002554,0.15649260001373477,0
0.4951413304785757,0.6890425217945504,0.6088179141202543,0.21046693656157506,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.6822151647479159,0.0,13748,0,6404,0,completed,extra_trees__common_baseline,extra_trees,common_baseline,,197,3,162557,20152,0.23318589786967034,0.3177848352520842,26.898292099998798,0.17119779999484308,0
0.49803838283130863,0.6834699217375801,0.6043496522782573,0.2083578298394879,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.6867614061331339,0.0,13773,0,6282,0,completed,extra_trees__common_baseline,extra_trees,common_baseline,,197,4,182766,20055,0.2390105380650668,0.31323859386686614,31.719226999994135,0.1842348000209313,0
0.602131113762477,0.8008204471947763,0.472792803585636,0.15520632045183083,0.5,0.6510238907849829,0.40370370370370373,0.4983670803396473,0.43689876316994963,0.37890246039826847,0.6598169083780595,0.7726128793486307,0.17350111028867504,13368,1227,3381,2289,completed,lightgbm__common_baseline,lightgbm,common_baseline,,197,1,122011,20265,0.2187671603380023,0.27979274611398963,9.562254399992526,0.10471189999952912,0
0.6198270296679143,0.8087281374607693,0.46873033101356215,0.1541554412594052,0.5,0.6579439252336449,0.42651895447464083,0.5175383322831338,0.458794175697315,0.39275916563503266,0.6688789340000698,0.7726755406007224,0.18531347419466573,13151,1281,3313,2464,completed,lightgbm__common_baseline,lightgbm,common_baseline,,197,2,142292,20209,0.22654822477721867,0.28586273442525606,8.98119009999209,0.06818949998705648,0
