importance_rank,source_feature,friendly_name,gain,normalized_gain
145,구성비__유동__시간대_14_17_유동인구_수,구성 비중: 유동인구: 시간대 14 17 유동인구 수,1494.6441650390625,0.0006516245508605244
146,아파트__아파트_면적_66_제곱미터_미만_세대_수,아파트: 아파트 면적 66 제곱미터 미만 세대 수,1488.7007502317429,0.0006490333822767322
147,아파트__아파트_가격_3_억_세대_수,아파트: 아파트 가격 3 억 세대 수,1488.1279582977295,0.0006487836604396097
148,구성비__유동__목요일_유동인구_수,구성 비중: 유동인구: 목요일 유동인구 수,1460.7515053749084,0.0006368482652082495
149,구성비__유동__화요일_유동인구_수,구성 비중: 유동인구: 화요일 유동인구 수,1435.6278746128082,0.0006258950396885745
150,구성비__유동__토요일_유동인구_수,구성 비중: 유동인구: 토요일 유동인구 수,1361.8567246198654,0.0005937328076302442
151,아파트__아파트_단지_수,아파트: 아파트 단지 수,1302.8468316793442,0.0005680060855895571
152,아파트__아파트_평균_면적,아파트: 아파트 평균 면적,1286.1276404857635,0.0005607169690847043
153,구성비__유동__시간대_00_06_유동인구_수,구성 비중: 유동인구: 시간대 00 06 유동인구 수,1263.9438676834106,0.0005510454423582427
154,구성비__유동__수요일_유동인구_수,구성 비중: 유동인구: 수요일 유동인구 수,1257.4919840097427,0.0005482325950602717
155,아파트__아파트_가격_4_억_세대_수,아파트: 아파트 가격 4 억 세대 수,1004.902483433485,0.000438110384225704
156,개업_율,상권·업종 개업 점포 비율,959.6237697601318,0.0004183700860657269
157,개업_점포_수,개업 점포 수,951.6025867462158,0.0004148730665736818
158,아파트__아파트_면적_99_제곱미터_세대_수,아파트: 아파트 면적 99 제곱미터 세대 수,946.5378973484039,0.0004126649985724188
159,시설__약국_수,시설: 약국 수,890.6187952756882,0.000388285778002749
160,아파트__아파트_가격_5_억_세대_수,아파트: 아파트 가격 5 억 세대 수,860.6574935913086,0.0003752234584152837
161,공간__행정동_명,공간 행정동 명,859.1165328025818,0.00037455164106548557
162,공간__자치구_코드,공간 자치구 코드,795.2534403800964,0.0003467090549237342
163,구성비__직장__연령대_10_직장_인구_수,구성 비중: 직장인구: 연령대 10 직장 인구 수,766.4866788387299,0.00033416752262623587
164,상주__비_아파트_가구_수,상주인구: 비 아파트 가구 수,756.9918780326843,0.00033002804551491427
165,시설__버스_정거장_수,시설: 버스 정거장 수,734.5223212242126,0.00032023192466833623
166,변화__상권_변화_지표,변화 상권 변화 지표,710.5955276489258,0.0003098004878877823
167,아파트__아파트_가격_6_억_이상_세대_수,아파트: 아파트 가격 6 억 이상 세대 수,694.8548169136047,0.0003029379624766849
168,아파트__아파트_면적_132_제곱미터_세대_수,아파트: 아파트 면적 132 제곱미터 세대 수,588.1558812856674,0.0002564201038236633
169,시설__은행_수,시설: 은행 수,585.81452023983,0.0002553993335456378
170,아파트__아파트_면적_165_제곱미터_세대_수,아파트: 아파트 면적 165 제곱미터 세대 수,358.71571922302246,0.00015639038032788424
171,전분기_연속_여부,전분기 연속 여부,289.98963928222656,0.0001264276627651691
172,시설__관공서_수,시설: 관공서 수,264.97850769758224,0.00011552348385317276
173,공간__자치구_명,공간 자치구 명,255.210120677948,0.00011126473053034788
174,시설__지하철_역_수,시설: 지하철 역 수,210.14960145950317,9.1619559268803e-05
175,상권_구분_코드,상권 구분 코드,164.97046947479248,7.192267603971946e-05
176,최근_4분기_연속_여부,최근 4분기 연속 여부,145.19139957427979,6.329953493240202e-05
177,폐업_점포_수,폐업 점포 수,104.65219974517822,4.562553700113324e-05
178,시설__극장_수,시설: 극장 수,64.6627197265625,2.81912020832999e-05
179,시설__일반_병원_수,시설: 일반 병원 수,53.670719146728516,2.3398986244618493e-05
180,시설__숙박_시설_수,시설: 숙박 시설 수,45.27985954284668,1.9740797728176306e-05
181,시설__슈퍼마켓_수,시설: 슈퍼마켓 수,44.51832962036133,1.940879121765452e-05
182,아파트__결합_여부,아파트: 결합 여부,35.07129955291748,1.5290140860160847e-05
183,시설__대학교_수,시설: 대학교 수,9.764260292053223,4.256954180882342e-06
184,상주__결합_여부,상주인구: 결합 여부,0.0,0.0
185,상주__아파트_가구_수,상주인구: 아파트 가구 수,0.0,0.0
186,시설__결합_여부,시설: 결합 여부,0.0,0.0
187,시설__고등학교_수,시설: 고등학교 수,0.0,0.0
188,시설__공항_수,시설: 공항 수,0.0,0.0
189,시설__백화점_수,시설: 백화점 수,0.0,0.0
190,시설__버스_터미널_수,시설: 버스 터미널 수,0.0,0.0
191,시설__유치원_수,시설: 유치원 수,0.0,0.0
192,시설__종합병원_수,시설: 종합병원 수,0.0,0.0
193,시설__중학교_수,시설: 중학교 수,0.0,0.0
194,시설__초등학교_수,시설: 초등학교 수,0.0,0.0
195,유동__결합_여부,유동인구: 결합 여부,0.0,0.0
196,점포_수__분모0,점포 수 분모0,0.0,0.0
197,직장__결합_여부,직장인구: 결합 여부,0.0,0.0
